tweet_text,actual_sentiment,predicted_sentiment
southwestair youre early frontrunner best airline oscar,2,2
usairways flt ewr cancelled flightled yet flts nyc usairways still flying,0,0
jetblue going bdl dca flight yesterday today every single one getting delayed,0,0
jetblue depart washington dc,1,1
jetblue probably find ticket,0,1
united still waiting hear back wallet stolen one plane would appreciate resolution,0,0
united yes flight rebooked im losing trust want get anywhere time,0,0
jetblue thank paris could arrange something,1,1
united sure however ticket included one checked bag therefore charge extra completely unanticipated,0,0
usairways great crew flight phx yvr tonight friendly efficient awesome job,2,2
usairways ive hold change date ticket hour someone please assist unacceptable,0,0
southwestair dmd,1,1
southwestair already signed thanks looking forward trying southwest experience,2,2
southwestair,1,1
usairways oh well ill get cancun eventually,2,0
usairways flight passenger stuck plane philly gangway cant hear pilot,0,0
americanair already waited hour wanted get home,0,0
southwestair thanks quick response call daily wait day,2,2
jetblue dont enough money parking garage fault im paying min hr,0,0
jetblue lgb sunny cal,1,1
americanair yvonneokaka get personal response apology crew forgotten load baggage onto flight,0,0
jetblue didnt info infuriated way previous rep treated possibly work jetblue rep,0,0
united money sucking airline terrible terrible customer service,0,0
americanair btwn gate amp lost diamond earring dayjustgotworse pls maintenance look,1,0
usairways shoutout kristiesp gate pvd today shes rockstar tremendous help tough situation promotethatgirl,2,0
usairways family friend colleague never fly usair bad weather happens good airline seem communicate better,0,0
jetblue landed thank anyway btw flight staff flight wonderful despite full day heavy load,2,2
jetblue airbusintheus landing arubaairport february avgeek warmweather,1,1
southwestair ahhhh sorry followed,1,1
americanair ticket poor gesture goodwill missed trip top status flyer may next time aa lhrord,0,0
usairways youve got get weve got excuse usairwaysfail,0,0
jetblue ill pas along advice guy rock,2,2
virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,2,2
jetblue haha need apologize ill flight booking problem sooner late flightr love jetblue,2,1
southwestair hold hr cant get airport flight icy country backroads help pls human answer bna,0,0
southwestair hour sorry dont get oh well screw weekend az right eat hotel problem,0,0
united wonder cabin filthy badservice,0,0
usairways operate flight without maintenance issue flight inout dca cancelled flighted getting old update fleet pls,0,0
united im sure business go else airline travel name kathryn sotelo,0,0
usairways relied u airway mistake awful customer experience,0,0
americanair flight dfw lit way pdx tomorrow cancelled flighted help,0,0
united poor customer service think befor flight booking problem another united flight,0,0
united joni great job flight lax thanks great flight,2,2
united broken luggage mild case food poisoning ua lhriah email,0,0
southwestair traditionally used sledge hammer low taking share driving scalpel approach data science anamarketers,1,1
southwestair thanks info quick response,2,2
jetblue great thank let hope could please notify flight leaf jfk thank,2,2
united inadequate accident,0,0
united coupled selfservice policiescost cutting exacerbates noted issue,0,0
americanair cant unload flight jetway broken step planb waiting nearly hour,0,0
united get namesdallas flight chicago,1,1
jetblue get honest update departure flite plane infant child,0,1
virginamerica lost luggage day ago flight vx lax iad amp im calling every day responseplease give back stuff,0,0
americanair ahhhh silence golden top anyone get fired,0,0
united landed boston last night hour traveling rough tho,0,0
usairways nice touch using first name intimate ill filing claim soon reimbursed u airway day,2,0
united also mere fact go online issue statement vice calling talking directly one good example,0,0
jetblue thank,2,2
usairways u gate open min waiting great way finish hour delayed arrival,0,0
jetblue flight ewr fll,1,0
southwestair ive hold customer service hour help,0,0
united hey missed outbound flight still use return ticket,1,0
jetblue alright hope jetblue app showing change seat online show dont want surprise,1,0
southwestair way receive refund trip cancelled flight online instead calling phone line super busy,0,0
united thanks make sense annoying cant determined better,0,0
usairways would rather plane get exposed nasty contagious virus work wth get flight changed late flightr date,0,0
americanair landed lit,1,0
southwestair gate agent rerouted impossible itinerary find new airline get u home super bummed,0,0
jetblue apparently pilot made announcement engine trouble losing fuel quickly,0,0
virginamerica brilliant brisk boston cue vx,1,0
americanair stiiiil waiting please respond flight leaf hr,0,0
southwestair need cancelled flight one leg flight cant seem online hold phone minute help,0,0
americanair cancelled flight flight doesnt send email text call im stranded louisville,0,0
jetblue bag supposedly boston,0,0
united customer care email phone rep speak many issue cant placed character,0,0
united lounge tell u pillow grandma one lady open closet see right unitedlies,0,1
americanair beyond redemption jfk baggage claim look like luggage warehouse,0,0
virginamerica policy flying surgery,1,1
united going min waiting plane vacate gate findanothergate,0,0
americanair luggage forgotmiahe oscar,0,0
jetblue im makingloveoutofnothingatall brandloveaffair lax,2,1
southwestair assigned seating cousin amp probably cant sit together flight tomorrow thanks,1,0
usairways flight cost happens fly united problem come u time,0,0
usairways u lose flight plan ur flight crew faa timed thx havin u sit tarmac hr pathetic,0,0
united given,0,0
americanair fyi twice ive tried well call someone free thing time called picked hung,0,0
americanair mean flight going buffalo location dont care safety,0,0
united ticketh biz trvlno wifimissed con fltnext onehmissed meeting food voucherhotel chkoutfltno wifihotel,0,0
americanair hour baggage carousel still luggage nail coffin,0,0
americanair airport snow removal method keep good work folk cessnas become,2,2
southwestair would brighter star combined red carpet tonight,2,1
usairways ive called resolve dividend mile issue week avail please advise asap,0,0
jetblue shes standing cell announcement info thismosaicnothappy,0,0
usairways employee responsible social medium content yes u probably care however action last night say otherwise,0,0
usairways,2,1
americanair gold status,1,0
americanair trying call day get hung every time guy horrible,0,0
southwestair go delayed chicago offer flight never intend fly,0,0
southwestair th,1,1
united haha clean plane held overnight hangar sound lovely also dont lie screensand say weather,0,0
southwestair trying find airfare family price ridiculous almost usairways notmadeofmoney,0,0
americanair could let know im staying tonight youve booked anything would great go,1,0
jetblue shannonwoodward ill checking often probably hand oscar nerd geek badly dressed,1,0
united illegal breach contract touch customer feedback,0,0
united wife two new destination im stuck dc monday bag,0,0
usairways msscottwg thats unusual mean screwed never admit goingforgreatnessfail,0,0
southwestair wont let leave newark,0,0
americanair yes able get push notification via app im logged trip emailtext,0,0
united sat airport hr still sitting gate sigh,0,0
southwestair terry hero got husband back thru security retrieve cellphone left plane austin terry u rock,2,2
americanair flight delayed flight sold seat flight strand phx three hour thanks memory,0,0
virginamerica jump dallasaustin market dallasnews,1,1
usairways fly quite bit difficult communicate agent let people know whats happening arrangement made,0,0
americanair message delayed responded,1,0
americanair thats complete cop u ask issue nothing supposed sort situation,0,0
southwestair experience worse flying experience ive ever met w contempt customer service make worse,0,0
jetblue smf jfk,2,1
